key,ru,en
intro_1,"Эй, добро пожаловать в oneshooters! Потому что один выстрел решает всё.","Hey, welcome to oneshooters! It's because one shot decides everything."
intro_2,Сейчас быстро введу в курс дела,Let me teach you the basics
intro_3,Я стреляю автоматически,I shoot automatically
intro_4,"Патроны закончились. зажми и держи палец или SPACE, чтобы перезарядиться до 6",Out of ammo. Hold down your finger or SPACE to reload up to 6
intro_5,"Видишь, враг идёт к огоньку? Нажми на него, чтобы переключить текущую цель",See the enemy approaching that fire? Click on him to switch current target.
intro_6,"Отлично, убив врага в огоньке ты получаешь пак. Смотри.","Great, when you kill an enemy in the fire, you get a pack. Look."
intro_7,"Видишь? Патроны закончились, но пак меня выручил","See? I ran out of bullets, but the pack saved me."
intro_8,"Этот парень опасный, пригнись! зажми и держи палец или SPACE","This guy is dangerous, duck! Hold down and keep your finger on the screen or press and hold SPACE"
intro_9,Время бежать. Свайпни вправо. или нажми 'D' на клавиатуре,Time to run. Swipe right or press ‘D’ on your keyboard.
intro_10,"Ой-ой, перекат!(Снова свайпни вправо или нажми 'D' на клавиатуре)","Oh dear, it's time to roll! (Swipe right again or press ‘D’ on your keyboard)"
intro_11,Перекатиться между укрытиями можно лишь раз! А теперь возьми этого дрона,You can only roll between covers once! Now take this drone.
intro_12,"Хорошо, свайпни влево или нажми 'A' на клавиатуре, чтобы вернутся назад","Okay, swipe left or press ‘A’ on your keyboard to go back."
intro_13,Так держать!,Well done!